# gaia,tmass,pmra,pmdec,d,plx,m_h,m_h_err,alpha_m,alpha_m_err
663541252887478912,08160733+1941519,134.943606294,-314.64846058,233.994404694,4.27360646212,-2.39986157417,0.0815618261695,-0.0308496002108,0.0751280486584
1031967670704908672,08222194+5328146,-146.314711409,-309.148558399,179.644232698,5.56655777357,-0.879709005356,0.0171582419425,0.268285006285,0.0126596968621
1032081057840831104,08271101+5410494,81.687722979,-136.050808275,368.009967571,2.71731770365,-1.25346159935,0.0154222110286,0.112579002976,0.0175126008689
678598441856664320,08325831+2450012,47.6928223667,-100.817073469,512.675938725,1.95054989802,-2.45276165009,0.0381238646805,0.252638995647,0.0453443415463
3080210322598944128,08351237+0327594,144.422883852,-162.155693486,219.825358186,4.54906571405,-0.544239044189,0.0161635559052,0.189864993095,0.0131162758917
703028632450584192,08393803+2631433,120.47881485,-230.579742409,185.499361052,5.39085414811,-0.65807902813,0.0138823799789,0.237985000014,0.00984930247068
703028632450584192,08393803+2631433,120.47881485,-230.579742409,185.499361052,5.39085414811,-0.65807902813,0.0138823799789,0.237985000014,0.00984930247068
690419295663797760,08442470+2447483,-114.512859488,-348.212425908,138.955834747,7.19653119874,-1.33254897594,0.0480835773051,0.254965007305,0.0742458030581
1093220673214868224,08482064+6726599,54.4479204058,-93.9252870281,564.740899817,1.7707235306,-1.3437615633,0.0122050354257,0.259709000587,0.0145930266008
693354334578031872,08564869+2834541,-125.551959949,-141.864630152,358.582725023,2.78875676438,-1.02734899521,0.0259131509811,0.209545001388,0.028782363981
1036171790853094272,08581244+5557243,29.227562323,-66.3506028705,723.853675878,1.38149467679,-1.31456160545,0.0156872980297,0.318428993225,0.0179615877569
578483544461448192,08592268+0341579,90.0828777748,-108.74092025,709.813112578,1.40882153665,-1.05106151104,0.02684542723,0.106878995895,0.0251034591347
577364653940674432,09033133+0225081,71.9590380794,-243.873538854,198.011403128,5.05021420082,-1.25496149063,0.0189714040607,0.352509021759,0.0205065570772
580265062535943296,09051442+0451474,-10.3278288402,-152.150271026,370.991003863,2.69548315077,-0.569779038429,0.0238414742053,0.076370999217,0.0245138015598
686872305511971072,09102778+2230434,2.26300036546,-72.3968232098,880.647176407,1.13552853718,-0.705188989639,0.0256848856807,0.181814998388,0.0254755504429
1011379899590855936,09104809+4622370,-8.2422256552,-223.191070234,453.49838352,2.20507952473,-1.35526156425,0.0476163998246,0.0268290005624,0.0388554409146
635129661969402624,09114276+1757236,42.1063136238,-75.0031023947,744.636281843,1.3429375178,-1.59486150742,0.0273405574262,0.132798999548,0.0290748886764
638654425665507584,09183871+2220468,62.5878163296,-147.161240491,433.925182048,2.30454474958,-1.20374894142,0.0271008461714,0.164294987917,0.0272574946284
817920553805491456,09213037+4416399,-20.1362888264,-90.0126069458,590.332782715,1.6939597957,-0.818261563778,0.0248237289488,0.232139006257,0.0221947357059
798855537577732352,09341699+3614584,14.653116711,-172.676834542,377.080257399,2.65195533412,-1.74506151676,0.0227444767952,0.249409005046,0.0262732487172
798855537577732352,09341699+3614584,14.653116711,-172.676834542,377.080257399,2.65195533412,-1.84416151047,0.0199530478567,0.274668991566,0.0244058519602
798855537577732352,09341699+3614584,14.653116711,-172.676834542,377.080257399,2.65195533412,-1.74506151676,0.0227444767952,0.249409005046,0.0262732487172
798855537577732352,09341699+3614584,14.653116711,-172.676834542,377.080257399,2.65195533412,-1.84416151047,0.0199530478567,0.274668991566,0.0244058519602
800701823758272768,09443785+3836387,212.262890184,-239.833504692,220.178938913,4.5417604651,-1.00584900379,0.0198488347232,0.110665000975,0.0250764992088
616955799914152704,09545357+1630148,28.410760886,-72.3500979969,733.812788869,1.3627453966,-0.783781528473,0.0140909263864,0.215418994427,0.0147002460435
793401341425993984,09550634+3255513,-135.935190529,-263.659488846,254.493962981,3.92936629336,-1.68646156788,0.0478369668126,0.213278993964,0.045006737113
623000365088049920,09570077+1703148,41.8489639078,-85.6906976183,817.647910632,1.22302030861,-1.23186159134,0.0125535018742,0.241538986564,0.0148127507418
809953286392559488,10071188+4515161,30.5955407126,-203.403717652,280.168350989,3.5692825277,-1.16116154194,0.0157788768411,0.136019006371,0.0173585619777
755775022731464576,10214484+3818591,-109.700269544,-105.652667729,392.477737477,2.54791521789,-0.935199022293,0.0227672681212,0.0526920035481,0.0273565910757
3887709361598800384,10251135+1523142,-65.0741063159,-2.13656245839,976.095615985,1.02448979754,-0.854369044304,0.0210527777672,0.24075499177,0.0160296130925
833493795983661312,10262569+4631099,108.24652045,-369.190258673,195.806945714,5.10707113251,-1.3711489439,0.0298137832433,0.188914999366,0.029761640355
749345697207764096,10301718+3334228,2.09145588183,-61.5409090382,824.932079653,1.21222101148,-1.62716150284,0.0634979605675,0.316829025745,0.0503543950617
3857833427353671808,10393813+0404548,-71.0651266544,-93.0220934428,963.3937855,1.03799714618,-1.90046155453,0.0199293382466,0.235568985343,0.0247106086463
836835276243529728,10394065+5045024,-72.0128800867,-181.10737992,302.892056819,3.30150618838,-0.535189032555,0.0195141453296,0.189224988222,0.0186569392681
830984847896578304,10472319+4526134,41.91819279,-193.314932823,287.170827099,3.48224786655,-0.808071553707,0.0157231334597,0.119718998671,0.0157789904624
781714387520981120,10532175+4323508,-104.098049359,-193.877647855,329.40179347,3.03580617903,-0.910719037056,0.0172422844917,0.0974749997258,0.0130519084632
781714387520981120,10532175+4323508,-104.098049359,-193.877647855,329.40179347,3.03580617903,-0.910719037056,0.0172422844917,0.0974749997258,0.0130519084632
832531448430581888,10535373+4914167,-94.0987258273,-73.0663533814,591.547146547,1.69048233237,-1.7935615778,0.0175034012645,0.281449019909,0.0218059476465
832531448430581888,10535373+4914167,-94.0987258273,-73.0663533814,591.547146547,1.69048233237,-1.89396154881,0.0172606129199,0.265419006348,0.0219698660076
832531448430581888,10535373+4914167,-94.0987258273,-73.0663533814,591.547146547,1.69048233237,-1.7935615778,0.0175034012645,0.281449019909,0.0218059476465
832531448430581888,10535373+4914167,-94.0987258273,-73.0663533814,591.547146547,1.69048233237,-1.89396154881,0.0172606129199,0.265419006348,0.0219698660076
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.71326160431,0.0183834191412,0.26211899519,0.0222476180643
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.7079615593,0.0181735046208,0.226468995214,0.0220280587673
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.77636158466,0.0171684063971,0.206889003515,0.0213907714933
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.76566159725,0.0174546763301,0.229589000344,0.0216289963573
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.71326160431,0.0183834191412,0.26211899519,0.0222476180643
781931511002696448,10595749+4446439,-100.30859389,-219.161360536,602.242717365,1.66046009552,-1.7079615593,0.0181735046208,0.226468995214,0.0220280587673
